id,shifting,unp,unp2,unp3,unp4,unp5,unp6,bot_detection,fullscreenenter,fullscreenexit,noise,interrupted,getup
465,-1.3140460433333336,-0.97527640270563,-2.4370136379986893,-2.4669407614379106,-0.11166931567041571,-2.1886880851360395,-0.976753055010464,1,1,0,0,0,0
466,0.03645984133333324,-0.8252876668661862,-0.49317456714478247,-1.527834871774556,-1.5240208238285216,0.11044507119864588,-0.528403731243766,1,1,0,0,0,0
467,0.9412754663333336,0.8996588996948612,3.6516320904539423,0.9060547641920531,-1.2208469553813437,-0.9117844222618264,1.4798989455467788,0.8999999761581421,1,0,1,1,0
468,-0.03428735666666682,-0.8252876668661862,-0.3603443835193287,-1.8779327019481167,-2.5715003252956583,-2.0377995098924577,-0.4946516119722997,0.8999999761581421,1,0,0,0,0
469,0.04259804333333328,0.22463348400991967,-0.6349276678983665,-1.302342647691776,-0.7426982909949877,-1.6292111581006457,-0.0301309305106901,1,1,0,0,0,0
470,-0.1388264309999998,-0.9002820347859082,0.3810041648082556,-2.617040197728561,-1.9442329400789524,-0.005963747725928337,-0.6204424105134934,1,1,0,0,0,0
471,0.14508350333333375,-0.5253101951872988,-0.6042419837333903,-2.7920394743559784,-0.7187205003574083,0.4604809379109288,-0.11383364711795464,1,1,0,0,0,0
472,0.0179372166666667,-0.97527640270563,-1.7129836967749426,-1.6806709992992874,-0.9391956429332629,0.02336320423934879,-1.0795361196641884,1,1,0,1,1,0
473,-0.3082435323333337,0.22463348400991967,-2.553880690321364,1.1469975436624533,0.15656782027169447,0.4891640790024405,0.05496181332864743,1,1,0,0,0,0
475,0.9741806643333332,0.5621461918523906,-0.04209271171148432,1.4993394228988906,0.5413217849231537,0.6854113686012056,0.3125442215203787,1,1,0,1,0,0
476,-0.5696238800000004,0.262168720173503,-1.457052312212948,-0.02910206827531603,1.4358607462426407,1.4140373632261247,-0.7518239813422741,0.8999999761581421,1,0,1,0,0
477,-0.786271368,-0.4221834262467507,-0.01735974964562781,-0.4341610810843439,0.055041688855080095,0.3929489324673961,-0.24109395969966907,1,1,0,0,0,0
478,0.739627076666667,-0.3940510252259244,-0.9479268674523006,-0.28357752399571845,0.06850354274526121,-0.7833627659855275,-0.4025789710633181,1,1,0,2,0,0
479,-0.23964842134741,-0.6752989310267425,0.24720946218689044,-0.7014295463248769,-0.280563722619307,0.01811821434029337,-0.1445653070161432,1,1,0,1,0,0
481,0.14280288904733335,1.668332144770149,2.1571902715219347,3.3081615194692904,0.11236215627262491,1.0947226839362911,0.8020317112400737,1,1,0,0,0,0
482,-0.4704044966666663,0.7308644935699036,-0.8658728202313288,0.8241004201530964,3.2560527280919622,1.4741639219294904,-0.4489967339401636,1,1,0,1,0,0
485,-0.6148869556666663,-0.6471665300059162,0.4824251775589876,-2.347273831235899,-0.9210129796006439,0.25907910945742674,-0.5116910030097521,0.8999999761581421,1,0,1,0,0
486,-0.11141617999999998,-0.8252876668661862,-2.1370919597764315,0.8072168837759872,-0.4460532495596179,-1.3706876337466383,-0.8119305402739557,1,1,0,0,0,0
487,-0.4480468099999997,-0.24406228938648072,-0.02225476104209284,-0.1331961288486358,0.8328395997634939,-2.4732266877279487,-0.4668315127815432,1,1,0,0,0,0
488,-0.39769050033333353,-0.450315827267577,0.49039098778622603,-0.8491825512742831,0.43881204626124193,-1.681869199545654,-0.511922691565043,1,1,0,0,0,0
489,-0.8272337803333332,-0.9002820347859082,-1.2891292122384543,0.5508061540224569,-1.3611884135740553,-1.572379003650617,-1.0467330139236382,1,1,0,0,0,0
490,-0.42621258133333306,-0.7221608979256382,-0.16105465812534703,-1.0214334428415357,0.7474279015664209,0.6162475282403235,-0.6375729212891139,0.8999999761581421,1,0,0,0,0
492,0.2528426773333332,1.2839574700287826,0.7666898103800639,0.8130258854046915,0.9322525257559051,1.167740009795268,0.7841552617394802,1,1,0,0,0,0
493,0.3205679136666666,-0.97527640270563,-1.1151709227950994,-1.9575796644785073,-1.8395252204770185,-0.6497047353587136,-0.05841159457811454,1,1,0,0,0,0
497,-0.04520279999999976,-0.8252876668661862,-0.15451199078805256,-2.323976829818794,-1.3477511514446276,-0.8233257622186241,-0.45573959456461,0.8999999761581421,1,0,1,1,1
499,-1.1773374226,-0.7502932989464643,-0.4920474501413051,-0.7428349708964166,-2.1061320487212623,-0.32273919176326593,-0.5979813950550331,1,1,0,0,0,0
500,0.04761269866666695,-0.6003045631070207,0.5854855101249414,-0.31763598826077777,1.208207558018545,-0.8971343624645742,0.6455737729153757,1,1,0,3,1,1
502,-0.5180978266666667,-0.8252876668661862,0.028579933221007825,-0.689469337067622,-0.31691960228871996,-1.1510461236702905,-0.9439499492699138,0.8999999761581421,1,0,0,0,0
504,0.1928684766666664,-0.4971777941664725,0.9609096847375143,-1.5627696872298174,1.474513014955027,-1.2897262497354638,-0.5621543571353053,1,1,0,0,0,0
505,0.01259686333333309,0.4777489887899115,0.892757774050817,0.8361437675690776,1.9732139056036928,1.4711722905633722,0.4859620640740813,1,1,0,0,0,0
508,-0.13222677366666624,-0.450315827267577,-1.1812056152462278,-1.32618512682913,-0.582190107968149,-0.7749422637420356,0.43073041113439814,0.8999999761581421,1,0,1,0,0
509,0.23991038733333325,0.4121574560129467,-1.5485270419274237,-0.24094735121676653,0.57604022590083,0.7970715192403706,0.6902525170471752,0.8999999761581421,1,0,0,0,0
510,-0.8446144266666669,0.6371405597721124,0.34293993307277726,1.6641558615542857,0.10587028604866278,2.612271642224371,1.20556213846182,1,1,0,1,0,0
512,0.26981266433333273,-0.00967635048455817,0.8385547495376011,0.12608828875468434,-1.0921294470866687,-0.33597370110295016,-0.419250028638118,0.8999999761581421,1,0,0,0,0
513,0.8828490323333336,-0.3659186242050982,-0.5522096715800275,0.5235329380599025,0.8494038744847099,-2.0775909345033217,0.26917508066229756,0.800000011920929,1,0,0,0,0
514,1.1334562160423334,-0.6752989310267425,-2.5743440372803748,-0.20177516403083762,-2.791004731406582,-1.3549125679679908,-0.6664331884488451,1,0,0,0,0,0
515,1.0675101406666665,-0.450315827267577,-2.4388403002154835,0.08208067019996146,1.8714707310727001,-0.2820851758791839,-0.6698162169908982,0.8999999761581421,1,0,0,0,0
516,-0.5675000366666665,0.7589968945907297,-1.0104353236765764,0.5553473652388836,0.3307420969776236,0.011865837599393636,0.6907822546565572,1,1,0,1,0,0
